row_id,confidence,box,walk_every_cycles,streak,cross_env_proof,observations,cycles_since_walk,decay_applied,due,last_status,last_env,last_measured
1,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
2,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
3,0.0731,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
4,0.0784,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
5,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
6,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
7,0.0233,0,1,0,0,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
8,0.0359,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
9,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
10,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
11,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
12,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
13,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
14,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
15,0.0222,0,1,0,0,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
16,0.0,0,1,0,1,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
17,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
18,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
19,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
20,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
21,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
22,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
23,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
24,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
25,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
26,0.6361,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
27,0.6361,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
28,0.6361,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
29,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
30,0.0,0,1,0,1,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
31,0.0,0,1,0,1,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
32,0.0,0,1,0,1,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
33,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
34,0.0,0,1,0,1,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
35,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
36,0.0,0,1,0,1,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
37,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
38,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
39,0.0,0,1,0,1,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
40,0.6361,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
41,0.0729,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
42,0.6361,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
43,0.6361,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
44,0.6361,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
45,0.6361,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
46,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
47,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
48,0.0934,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
49,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
50,0.6778,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
51,0.0,0,1,0,1,45,0,1.0,no,FAIL,hw294,2026-08-12 06:20:00
52,0.0,0,1,0,1,45,0,1.0,no,FAIL,hw294,2026-08-12 06:20:00
53,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
54,0.6866,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
55,0.0,0,1,0,0,45,0,1.0,no,FAIL,hw294,2026-08-12 06:20:00
56,0.0,0,1,0,1,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
57,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
