row_id,epic,identity_cycles,greens,greens_with_covering_artifact,current_verdict_backed,current_verdict
R1,janitor,36,6,0,no,⛔
R2,network,7,7,0,no,✅
R3,sso,36,26,0,no,✅
R4,sso,36,26,0,no,✅
R5,sso,36,22,0,no,✅
R6,postgres,36,26,0,no,✅
R7,plane-isolation,36,24,0,no,✅
R8,gitea,36,25,0,no,✅
R9,sso,36,22,0,no,✅
R10,orgs,36,25,0,no,✅
R11,gitea,36,15,0,no,⛔
R12,postgres,36,18,0,no,✅
R13,convergence,36,22,0,no,✅
R14,model,36,20,2,YES,✅
R15,funnel,36,14,0,no,✅
R16,funnel,36,7,0,no,⚠
R17,orgs,36,4,0,no,❌
R18,cutover,36,16,0,no,✅
R19,sandbox,36,8,0,no,⛔
R20,delivery,36,10,0,no,✅
R21,catalog,36,15,0,no,✅
R22,plane-isolation,36,15,0,no,⚠
W1,wizard,8,0,0,no,❌
W2,wizard,8,0,0,no,❌
W3,wizard,8,8,0,no,✅
W4,wizard,8,8,0,no,✅
W5,wizard,8,0,0,no,⚠
M1,janitor,36,11,0,no,✅
M2,apps,36,17,0,no,✅
M3,network,36,12,0,no,✅
M4,apps,36,11,2,YES,✅
G1,adoption,36,17,0,no,✅
G2,apps,36,0,0,no,
G3,dr,36,3,0,no,
G4,adoption,36,0,0,no,⚠
G5,janitor,36,7,0,no,⛔
G6,model,36,17,0,no,✅
G7,orgs,36,4,0,no,⚠
G8,apps,36,1,0,no,⛔
G9,apps,36,0,0,no,⚠
G10,placement,36,2,0,no,
G11,cutover,36,12,0,no,✅
G12,dr,21,11,0,no,✅
1,model,43,22,2,no,⚠
2,model,19,13,4,YES,✅
3,model,43,3,0,no,⛔
4,model,43,13,1,no,⚠
5,model,43,15,1,no,⚠
6,model,43,17,0,no,✅
7,model,3,0,0,no,⚠
8,model,43,26,5,YES,✅
9,model,43,13,0,no,✅
10,model,10,2,0,no,✅
11,model,10,2,0,no,✅
12,model,10,4,3,YES,✅
13,model,43,26,8,YES,✅
14,model,43,27,8,YES,✅
15,model,43,17,4,no,⚠
16,model,43,6,1,no,⛔
17,model,27,13,4,YES,✅
18,model,43,20,1,no,⚠
19,model,43,16,3,no,⚠
20,model,43,12,0,no,✅
21,model,43,23,7,YES,✅
22,model,43,22,8,YES,✅
23,model,43,15,4,YES,✅
24,model,43,26,7,YES,✅
25,model,43,13,3,no,⚠
26,sso,43,16,6,no,✅
27,sso,43,12,2,YES,✅
28,sso,43,13,7,YES,✅
29,sso,43,9,2,no,❌
30,sso,43,14,4,no,✅
31,sso,43,14,4,no,✅
32,sso,43,10,4,no,✅
33,sso,43,8,3,no,⚠
34,sso,43,12,4,no,✅
35,sso,43,11,0,no,✅
36,sso,43,13,1,no,✅
37,sso,43,10,4,YES,❌
38,sso,43,10,5,no,☐
39,sso,43,12,4,no,✅
40,sso,43,17,8,YES,✅
41,sso,43,12,0,no,❌
42,sso,43,14,2,no,✅
43,sso,43,14,1,no,✅
44,sso,43,14,1,no,✅
45,sso,43,13,6,YES,✅
46,topology,43,25,8,YES,✅
47,topology,39,25,7,YES,✅
48,topology,43,17,0,no,⚠
49,topology,43,25,4,YES,✅
50,topology,43,16,4,YES,✅
51,topology,43,16,4,YES,✅
52,topology,12,10,4,YES,✅
53,topology,43,14,3,no,⚠
54,topology,43,15,4,YES,✅
55,topology,12,1,0,no,⚠
56,topology,43,14,4,YES,✅
57,topology,43,6,0,no,❌
58,topology,43,21,6,YES,✅
59,topology,43,8,0,no,⚠
60,topology,43,11,3,YES,✅
