row_id,epic_issue,epic_name
R1,4454,Other / single-row epics
R2,4467,Other / single-row epics
R3,4448,Other / single-row epics
R4,4458,Other / single-row epics
R5,4437,Other / single-row epics
R6,4442,Other / single-row epics
R7,4444,Other / single-row epics
R8,4447,Other / single-row epics
R9,4446,Other / single-row epics
R10,4471,Other / single-row epics
R11,4354,Other / single-row epics
R12,4460,Other / single-row epics
R13,4436,Other / single-row epics
R14,4479,Other / single-row epics
R15,4473,Other / single-row epics
R16,4290,Other / single-row epics
R17,4459,Other / single-row epics
R18,4450,Other / single-row epics
R19,4482,Other / single-row epics
R20,4464,Other / single-row epics
R21,4432,Other / single-row epics
R22,4468,Other / single-row epics
W1,5401,Other / single-row epics
W2,5401,Other / single-row epics
W3,3376,FUNNEL (customer purchase)
W4,5555,Other / single-row epics
W5,3969,Other / single-row epics
M1,4466,Other / single-row epics
M2,4477,Other / single-row epics
M3,4475,Other / single-row epics
M4,4111,Other / single-row epics
G1,4488,Other / single-row epics
G2,4477,Other / single-row epics
G3,4486,Other / single-row epics
G4,4431,Other / single-row epics
G5,4466,Other / single-row epics
G6,4212,Other / single-row epics
G7,4293,Other / single-row epics
G8,4277,Other / single-row epics
G9,4111,Other / single-row epics
G10,3969,Other / single-row epics
G11,3379,SOVEREIGNTY / cutover
G12,4275,Other / single-row epics
1,3687,Organization / Application CR model
2,3687,Organization / Application CR model
3,3687,Organization / Application CR model
4,3687,Organization / Application CR model
5,3687,Organization / Application CR model
6,3687,Organization / Application CR model
7,3687,Organization / Application CR model
8,3687,Organization / Application CR model
9,3687,Organization / Application CR model
10,3687,Organization / Application CR model
11,3687,Organization / Application CR model
12,3687,Organization / Application CR model
13,3687,Organization / Application CR model
14,3687,Organization / Application CR model
15,3687,Organization / Application CR model
16,3687,Organization / Application CR model
17,3687,Organization / Application CR model
18,3687,Organization / Application CR model
19,3687,Organization / Application CR model
20,3687,Organization / Application CR model
21,3687,Organization / Application CR model
22,3687,Organization / Application CR model
23,3687,Organization / Application CR model
24,3687,Organization / Application CR model
25,3687,Organization / Application CR model
26,3374,SSO (all surfaces)
27,3374,SSO (all surfaces)
28,3374,SSO (all surfaces)
29,3374,SSO (all surfaces)
30,3374,SSO (all surfaces)
31,3374,SSO (all surfaces)
32,3374,SSO (all surfaces)
33,3374,SSO (all surfaces)
34,3374,SSO (all surfaces)
35,3374,SSO (all surfaces)
36,3374,SSO (all surfaces)
37,3374,SSO (all surfaces)
38,3374,SSO (all surfaces)
39,3374,SSO (all surfaces)
40,3374,SSO (all surfaces)
41,3374,SSO (all surfaces)
42,3374,SSO (all surfaces)
43,3374,SSO (all surfaces)
44,3374,SSO (all surfaces)
45,3374,SSO (all surfaces)
46,3375,TOPOLOGY / DR
47,3375,TOPOLOGY / DR
48,3375,TOPOLOGY / DR
49,3375,TOPOLOGY / DR
50,3375,TOPOLOGY / DR
51,3375,TOPOLOGY / DR
