NAMESPACE         NAME                               AGE   READY   STATUS
agwalk305         chepherd-rtz-a                     9d    True    Helm install succeeded for release agwalk305/chepherd-rtz-a.v1 with chart bp-agenity@0.5.32
agwalk305         openclaw-mgmt-a                    9d    True    Helm install succeeded for release agwalk305/openclaw-mgmt-a.v1 with chart bp-openclaw@0.2.19
agwalk305         orgdb-rtz-a                        9d    True    Helm install succeeded for release agwalk305/orgdb-rtz-a.v1 with chart bp-postgres@0.2.24
agwalk305         vcluster                           9d    True    Helm install succeeded for release agwalk305/vcluster.v1 with chart vcluster@0.33.4
flux-system       bp-alloy                           9d    True    Helm install succeeded for release alloy/alloy.v1 with chart bp-alloy@1.0.3
flux-system       bp-catalyst-platform               9d    True    Helm upgrade succeeded for release catalyst-system/catalyst-platform.v5 with chart bp-catalyst-platform@1.4.1563
flux-system       bp-catalyst-secondary-edge         9d            
flux-system       bp-cert-manager                    9d    True    Helm install succeeded for release cert-manager/cert-manager.v1 with chart bp-cert-manager@1.2.6
flux-system       bp-cert-manager-issuers            9d    True    Helm install succeeded for release cert-manager/cert-manager-issuers.v1 with chart bp-cert-manager-issuers@1.0.0
flux-system       bp-cert-manager-powerdns-webhook   9d    True    Helm install succeeded for release cert-manager/cert-manager-powerdns-webhook.v1 with chart bp-cert-manager-powerdns-webhook@1.1.0
flux-system       bp-cilium                          9d    True    Helm upgrade succeeded for release kube-system/cilium.v2 with chart bp-cilium@1.4.20
flux-system       bp-cluster-autoscaler-hcloud       9d            
flux-system       bp-cnpg                            9d    True    Helm install succeeded for release cnpg-system/cnpg.v1 with chart bp-cnpg@1.0.14
flux-system       bp-cnpg-pair                       9d    True    Helm upgrade succeeded for release cnpg/cnpg-pair.v2 with chart bp-cnpg-pair@0.2.24
flux-system       bp-continuum                       9d    True    Helm install succeeded for release catalyst-system/continuum.v1 with chart bp-continuum@0.1.12
flux-system       bp-coraza                          9d    True    Helm install succeeded for release coraza/coraza.v1 with chart bp-coraza@1.0.1
flux-system       bp-crossplane                      9d    True    Helm install succeeded for release crossplane-system/crossplane.v1 with chart bp-crossplane@1.1.7
flux-system       bp-crossplane-claims               9d    True    Helm install succeeded for release crossplane-system/crossplane-claims.v1 with chart bp-crossplane-claims@1.3.4
flux-system       bp-dragonfly                       9d    True    Helm install succeeded for release dragonfly/dragonfly.v1 with chart bp-dragonfly@0.1.1
flux-system       bp-external-dns                    9d    True    Helm install succeeded for release external-dns/external-dns.v1 with chart bp-external-dns@1.1.9
flux-system       bp-external-secrets                9d    True    Helm upgrade succeeded for release external-secrets-system/external-secrets.v2 with chart bp-external-secrets@1.1.4
flux-system       bp-external-secrets-stores         9d    True    Helm install succeeded for release external-secrets-system/external-secrets-stores.v1 with chart bp-external-secrets-stores@1.0.9
flux-system       bp-falco                           9d    True    Helm install succeeded for release falco/falco.v1 with chart bp-falco@1.0.2
flux-system       bp-flux                            9d    True    Helm install succeeded for release flux-system/flux.v1 with chart bp-flux@1.2.7
flux-system       bp-gateway-api                     9d    True    Helm install succeeded for release flux-system/gateway-api.v1 with chart bp-gateway-api@1.3.0
flux-system       bp-gitea                           9d    True    Helm install succeeded for release gitea/gitea.v1 with chart bp-gitea@1.2.49
flux-system       bp-grafana                         9d    True    Helm install succeeded for release grafana/grafana.v1 with chart bp-grafana@1.0.18
flux-system       bp-guacamole                       9d    True    Helm upgrade succeeded for release guacamole/guacamole.v2 with chart bp-guacamole@0.2.43
flux-system       bp-harbor                          9d    True    Helm upgrade succeeded for release harbor/harbor.v2 with chart bp-harbor@1.2.47
flux-system       bp-hcloud-ccm                      9d            
flux-system       bp-hcloud-csi                      9d    True    Helm install succeeded for release hcloud-csi/hcloud-csi.v1 with chart bp-hcloud-csi@1.2.1
flux-system       bp-huawei-evs-csi                  9d    True    Helm upgrade succeeded for release huawei-evs-csi/huawei-evs-csi.v2 with chart bp-huawei-evs-csi@1.0.9
