NAME                               URL                        READY
bp-alloy                           oci://ghcr.io/openova-io   <none>
bp-catalyst-edge-routes            oci://ghcr.io/openova-io   <none>
bp-catalyst-platform               oci://ghcr.io/openova-io   <none>
bp-cert-manager                    oci://ghcr.io/openova-io   <none>
bp-cert-manager-issuers            oci://ghcr.io/openova-io   <none>
bp-cert-manager-powerdns-webhook   oci://ghcr.io/openova-io   <none>
bp-chargeback                      oci://ghcr.io/openova-io   <none>
bp-cilium                          oci://ghcr.io/openova-io   <none>
bp-cluster-autoscaler-hcloud       oci://ghcr.io/openova-io   <none>
bp-cnpg                            oci://ghcr.io/openova-io   <none>
bp-cnpg-pair                       oci://ghcr.io/openova-io   <none>
bp-continuum                       oci://ghcr.io/openova-io   <none>
bp-coraza                          oci://ghcr.io/openova-io   <none>
bp-crossplane                      oci://ghcr.io/openova-io   <none>
bp-crossplane-claims               oci://ghcr.io/openova-io   <none>
bp-dragonfly                       oci://ghcr.io/openova-io   <none>
bp-external-dns                    oci://ghcr.io/openova-io   <none>
bp-external-secrets                oci://ghcr.io/openova-io   <none>
bp-external-secrets-stores         oci://ghcr.io/openova-io   <none>
bp-falco                           oci://ghcr.io/openova-io   <none>
bp-flux                            oci://ghcr.io/openova-io   <none>
bp-gateway-api                     oci://ghcr.io/openova-io   <none>
bp-gitea                           oci://ghcr.io/openova-io   <none>
bp-grafana                         oci://ghcr.io/openova-io   <none>
bp-guacamole                       oci://ghcr.io/openova-io   <none>
bp-harbor                          oci://ghcr.io/openova-io   <none>
bp-hcloud-ccm                      oci://ghcr.io/openova-io   <none>
bp-hcloud-csi                      oci://ghcr.io/openova-io   <none>
bp-huawei-evs-csi                  oci://ghcr.io/openova-io   <none>
bp-k8s-ws-proxy                    oci://ghcr.io/openova-io   <none>
bp-keycloak                        oci://ghcr.io/openova-io   <none>
bp-kyverno                         oci://ghcr.io/openova-io   <none>
bp-loki                            oci://ghcr.io/openova-io   <none>
bp-mimir                           oci://ghcr.io/openova-io   <none>
bp-nats-jetstream                  oci://ghcr.io/openova-io   <none>
bp-network-policies                oci://ghcr.io/openova-io   <none>
bp-newapi                          oci://ghcr.io/openova-io   <none>
bp-oidc-gate                       oci://ghcr.io/openova-io   <none>
bp-openbao                         oci://ghcr.io/openova-io   <none>
bp-openova-flow-emitter            oci://ghcr.io/openova-io   <none>
bp-openova-flow-server             oci://ghcr.io/openova-io   <none>
bp-openova-mcp                     oci://ghcr.io/openova-io   <none>
bp-opentelemetry                   oci://ghcr.io/openova-io   <none>
bp-opentelemetry-operator          oci://ghcr.io/openova-io   <none>
bp-plane-isolation                 oci://ghcr.io/openova-io   <none>
bp-postgres                        oci://ghcr.io/openova-io   <none>
bp-powerdns                        oci://ghcr.io/openova-io   <none>
bp-powerdns-admin                  oci://ghcr.io/openova-io   <none>
bp-reflector                       oci://ghcr.io/openova-io   <none>
bp-reloader                        oci://ghcr.io/openova-io   <none>
bp-sealed-secrets                  oci://ghcr.io/openova-io   <none>
bp-seaweedfs                       oci://ghcr.io/openova-io   <none>
bp-self-sovereign-cutover          oci://ghcr.io/openova-io   <none>
bp-sigstore                        oci://ghcr.io/openova-io   <none>
bp-sovereign-tls-vars              oci://ghcr.io/openova-io   <none>
bp-sso-bridge                      oci://ghcr.io/openova-io   <none>
bp-syft-grype                      oci://ghcr.io/openova-io   <none>
bp-tempo                           oci://ghcr.io/openova-io   <none>
bp-trivy                           oci://ghcr.io/openova-io   <none>
bp-valkey                          oci://ghcr.io/openova-io   <none>
bp-vcluster-helmrepo               oci://ghcr.io/openova-io   <none>
bp-velero                          oci://ghcr.io/openova-io   <none>
bp-velero-hcs                      oci://ghcr.io/openova-io   <none>
bp-vllm                            oci://ghcr.io/openova-io   <none>
bp-vpa                             oci://ghcr.io/openova-io   <none>
